"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"2203",2019-03-29,55.972,2019.23835616438,0,0,0,0,0,0,0,0
"2204",2019-04-01,57.835999,2019.24657534247,0,0,0,0,0,0,0,0
"2205",2019-04-02,57.175999,2019.24931506849,0,0,0,0,0,0,0,0
"2206",2019-04-03,58.362,2019.25205479452,0,0,0,0,0,0,0,0
"2207",2019-04-04,53.556,2019.25479452055,0,0,0,0,0,0,0,0
"2208",2019-04-05,54.992001,2019.25753424658,0,0,0,0,0,0,0,0
"2209",2019-04-08,54.639999,2019.26575342466,0,0,0,0,0,0,0,0
"2210",2019-04-09,54.462002,2019.26849315068,0,0,0,0,0,0,0,0
"2211",2019-04-10,55.212002,2019.27123287671,0,0,0,0,0,0,0,0
"2212",2019-04-11,53.683998,2019.27397260274,0,0,0,0,0,0,0,0
"2213",2019-04-12,53.540001,2019.27671232877,0,0,0,0,0,0,0,0
"2214",2019-04-15,53.276001,2019.28493150685,0,0,0,0,0,0,0,0
"2215",2019-04-16,54.672001,2019.28767123288,0,0,0,0,0,0,0,0
"2216",2019-04-17,54.245998,2019.2904109589,0,0,0,0,0,0,0,0
"2217",2019-04-18,54.652,2019.29315068493,0,0,0,0,0,0,0,0
"2218",2019-04-22,52.549999,2019.30410958904,0,0,0,0,0,0,0,0
"2219",2019-04-23,52.779999,2019.30684931507,0,0,0,0,0,0,0,0
"2220",2019-04-24,51.731998,2019.3095890411,0,0,0,0,0,0,0,0
"2221",2019-04-25,49.526001,2019.31232876712,0,0,0,0,0,0,0,0
"2222",2019-04-26,47.028,2019.31506849315,0,0,0,0,0,0,0,0
"2223",2019-04-29,48.293999,2019.32328767123,0,0,0,0,0,0,0,0
"2224",2019-04-30,47.737999,2019.32602739726,0,0,0,0,0,0,0,0
"2225",2019-05-01,46.801998,2019.32876712329,0,0,0,0,0,0,0,0
"2226",2019-05-02,48.82,2019.33150684932,0,0,0,0,0,0,0,0
"2227",2019-05-03,51.006001,2019.33424657534,0,0,0,0,0,0,0,0
"2228",2019-05-06,51.068001,2019.34246575342,0,0,0,0,0,0,0,0
"2229",2019-05-07,49.411999,2019.34520547945,0,0,0,0,0,0,0,0
"2230",2019-05-08,48.967999,2019.34794520548,0,0,0,0,0,0,0,0
"2231",2019-05-09,48.396,2019.35068493151,0,0,0,0,0,0,0,0
"2232",2019-05-10,47.903999,2019.35342465753,0,0,0,0,0,0,0,0
"2233",2019-05-13,45.402,2019.36164383562,0,0,0,0,0,0,0,0
"2234",2019-05-14,46.462002,2019.36438356164,0,0,0,0,0,0,0,0
"2235",2019-05-15,46.389999,2019.36712328767,0,0,0,0,0,0,0,0
"2236",2019-05-16,45.666,2019.3698630137,0,0,0,0,0,0,0,0
"2237",2019-05-17,42.206001,2019.37260273973,0,0,0,0,0,0,0,0
"2238",2019-05-20,41.071999,2019.38082191781,0,0,0,0,0,0,0,0
"2239",2019-05-21,41.015999,2019.38356164384,0,0,0,0,0,0,0,0
"2240",2019-05-22,38.546001,2019.38630136986,0,0,0,0,0,0,0,0
"2241",2019-05-23,39.098,2019.38904109589,0,0,0,0,0,0,0,0
"2242",2019-05-24,38.125999,2019.39178082192,0,0,0,0,0,0,0,0
"2243",2019-05-28,37.740002,2019.40273972603,0,0,0,0,0,0,0,0
"2244",2019-05-29,37.972,2019.40547945205,0,0,0,0,0,0,0,0
"2245",2019-05-30,37.644001,2019.40821917808,0,0,0,0,0,0,0,0
"2246",2019-05-31,37.032001,2019.41095890411,0,0,0,0,0,0,0,0
"2247",2019-06-03,35.793999,2019.41917808219,0,0,0,0,0,0,0,0
"2248",2019-06-04,38.720001,2019.42191780822,0,0,0,0,0,0,0,0
"2249",2019-06-05,39.318001,2019.42465753425,0,0,0,0,0,0,0,0
"2250",2019-06-06,41.189999,2019.42739726027,0,0,0,0,0,0,0,0
"2251",2019-06-07,40.900002,2019.4301369863,0,0,0,0,0,0,0,0
"2252",2019-06-10,42.576,2019.43835616438,0,0,0,0,0,0,0,0
"2253",2019-06-11,43.419998,2019.44109589041,0,0,0,0,0,0,0,0
"2254",2019-06-12,41.852001,2019.44383561644,0,0,0,0,0,0,0,0
"2255",2019-06-13,42.782001,2019.44657534247,0,0,0,0,0,0,0,0
"2256",2019-06-14,42.984001,2019.44931506849,0,0,0,0,0,0,0,0
"2257",2019-06-17,45.006001,2019.45753424658,0,0,0,0,0,0,0,0
"2258",2019-06-18,44.948002,2019.4602739726,0,0,0,0,0,0,0,0
"2259",2019-06-19,45.285999,2019.46301369863,0,0,0,0,0,0,0,0
"2260",2019-06-20,43.924,2019.46575342466,0,0,0,0,0,0,0,0
"2261",2019-06-21,44.372002,2019.46849315068,0,0,0,0,0,0,0,0
"2262",2019-06-24,44.728001,2019.47671232877,0,0,0,0,0,0,0,0
"2263",2019-06-25,43.952,2019.47945205479,0,0,0,0,0,0,0,0
"2264",2019-06-26,43.854,2019.48219178082,0,0,0,0,0,0,0,0
"2265",2019-06-27,44.568001,2019.48493150685,0,0,0,0,0,0,0,0
"2266",2019-06-28,44.692001,2019.48767123288,0,0,0,0,0,0,0,0
"2267",2019-07-01,45.433998,2019.49589041096,0,0,0,0,0,0,0,0
"2268",2019-07-02,44.91,2019.49863013699,0,0,0,0,0,0,0,0
"2269",2019-07-03,46.98,2019.50136986301,0,0,0,0,0,0,0,0
"2270",2019-07-05,46.619999,2019.50684931507,0,0,0,0,0,0,0,0
"2271",2019-07-08,46.068001,2019.51506849315,0,0,0,0,0,0,0,0
"2272",2019-07-09,46.012001,2019.51780821918,0,0,0,0,0,0,0,0
"2273",2019-07-10,47.784,2019.52054794521,0,0,0,0,0,0,0,0
"2274",2019-07-11,47.720001,2019.52328767123,0,0,0,0,0,0,0,0
"2275",2019-07-12,49.015999,2019.52602739726,0,0,0,0,0,0,0,0
"2276",2019-07-15,50.700001,2019.53424657534,0,0,0,0,0,0,0,0
"2277",2019-07-16,50.476002,2019.53698630137,0,0,0,0,0,0,0,0
"2278",2019-07-17,50.972,2019.5397260274,0,0,0,0,0,0,0,0
"2279",2019-07-18,50.708,2019.54246575342,0,0,0,0,0,0,0,0
