"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"44","2005-05-21","2007-09-28",2007.7397260274,2005.97260273973,1526.75,1516.88392782323,-215,80,0.00201312725357639,0,0.418056961428799,2.05374534045594,2007.74173915465,7.33430709517626,-0.0872053290262683,-0.0537362377616593,-0.0408806736850808,0.00116915936925545,0.0272948738786891,0.00650417081742884
"45","2005-05-21","2007-09-28",2007.7397260274,2005.98630136986,1526.75,1506.36337758896,-220,80,0.00201145878918396,0,1.55413308074251,8.3912033615659,2007.74173748619,7.31745849052502,-0.104764673058112,-0.0185472956370714,-0.0259803766324471,0.00481026825802384,0.0204073912533877,0.0135336683793174
"46","2005-05-21","2007-09-28",2007.7397260274,2006.00547945205,1526.75,1484.61625046256,-225,80,0.346846589293364,126,1.83482828199696,3.74010172088598,2008.08657261669,7.31021882035687,-0.0336945758456933,-0.0102951773179554,-0.0333211552473983,0.340948134805397,0.0130041287686059,0.0283802292506983
"47","2005-05-21","2007-09-28",2007.7397260274,2006.01369863014,1526.75,1505.93935004341,-230,80,0.00203558088492173,0,1.57246772127702,8.44582956056269,2007.74176160828,7.31717640771489,-0.104578105074331,-0.0188196523117812,-0.025815865026306,0.00497733681883505,0.0206942017620745,0.0138190491907826
"48","2005-05-21","2007-09-28",2007.7397260274,2006.02739726027,1526.75,1484.19662428296,-235,80,0.342443069874207,124,1.97047265109365,3.59511627641556,2008.08216909727,7.30737231373627,-0.0276987965966409,-0.0141293936807347,-0.0340072058264339,0.327713754242495,0.0128984184976478,0.0286709826857363
"49","2005-05-21","2007-09-28",2007.7397260274,2006.04383561644,1526.75,1484.0858218879,-240,80,0.339171731609667,123,1.99954572262999,3.55047841112869,2008.07889775901,7.30674930493262,-0.0263295778171425,-0.0154890059320213,-0.0342455701889284,0.323658835865975,0.0129386634301191,0.0287477836408604
"50","2005-05-21","2007-09-28",2007.7397260274,2006.0602739726,1526.75,1504.43568427984,-245,80,0.00200158497591474,0,1.64149329313977,8.64817777249495,2007.74172761237,7.3161766176869,-0.103990389285217,-0.0198264304221084,-0.0250568260996897,0.00515041667874412,0.0218970787312899,0.0148323494007248
"51","2005-05-21","2007-09-28",2007.7397260274,2006.06849315068,1526.75,1480.37859267743,-250,80,0.305755475015985,111,1.99972726844582,3.0983514049304,2008.04548150241,7.30086041271086,-0.0133685995042908,-0.0296181253750405,-0.041195346745016,0.260281732733302,0.0091068489257405,0.0313240191069651
"52","2005-05-21","2007-09-28",2007.7397260274,2006.08219178082,1526.75,1480.13773346452,-255,80,0.247461930192685,90,1.99380182909795,2.85374300573827,2007.98718795759,7.30048334077085,-0.0102779783034857,-0.0450888799169819,-0.0392101558206602,0.198547596045211,0.0100322583492034,0.0314918439558848
"53","2005-05-21","2007-09-28",2007.7397260274,2006.09863013699,1526.75,1481.2245512844,-260,80,0.00203980305741425,0,1.99665307378445,1.32368488991876,2007.74176583045,7.30062357043144,0.134402949851752,-0.24245948738738,0.0166697889525593,0.000822127418159933,2.95337627157923,0.0307350081904345
